einzelplan;einzelplan-text;einahmen-ausgaben;einahmen-ausgaben-text;kapitel;kapitel-text;titel;funktion;titel-text;flex;seite;soll ;titelgruppe;tgr-text
"01";"Bundespräsident und Bundespräsidialamt";"E";"Übrige Einnahmen";"0101";"Bundespräsident";"23201";"187";"Beteiligung der Länder an der Deutschen Künstlerhilfe und sonstige ihr zugedachte Einnahmen";;"6";0;
"01";"Bundespräsident und Bundespräsidialamt";"E";"Übrige Einnahmen";"0101";"Bundespräsident";"38103";"890";"Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7";;"6";0;
"01";"Bundespräsident und Bundespräsidialamt";"A";"Sächliche Verwaltungsausgaben";"0101";"Bundespräsident";"52901";"011";"Außergewöhnlicher Aufwand aus dienstlicher Veranlassung in besonderen Fällen";"nein";"6";1100;
"01";"Bundespräsident und Bundespräsidialamt";"A";"Zuweisungen und Zuschüsse (ohne Investitionen)";"0101";"Bundespräsident";"68101";"011";"Übernahme von Patenschaften, Ausgaben aus besonderer Veranlassung und besondere Bewilligungen.";"nein";"7";1348;
"01";"Bundespräsident und Bundespräsidialamt";"A";"Zuweisungen und Zuschüsse (ohne Investitionen)";"0101";"Bundespräsident";"68401";"187";"Deutsche Künstlerhilfe";"nein";"7";2000;
"01";"Bundespräsident und Bundespräsidialamt";"A";"Besondere Finanzierungsausgaben";"0101";"Bundespräsident";"98103";"890";"Verrechnungsausgaben gemäß § 61 BHO außerhalb der Tit. 981 .1 und 981 .7";"nein";"7";0;
"01";"Bundespräsident und Bundespräsidialamt";"A";"";"0101";"Bundespräsident";"42101";"011";"Bezüge des Bundespräsidenten";"ja";"7";277;
"01";"Bundespräsident und Bundespräsidialamt";"A";"";"0101";"Bundespräsident";"42102";"011";"Aufwandsgeld";"ja";"7";78;
"01";"Bundespräsident und Bundespräsidialamt";"A";"";"0101";"Bundespräsident";"45301";"011";"Trennungsgeld, Fahrtkostenzuschüsse sowie Umzugskostenvergütungen";"ja";"8";0;
"01";"Bundespräsident und Bundespräsidialamt";"A";"";"0101";"Bundespräsident";"54501";"011";"Konferenzen, Tagungen, Messen und Ausstellungen";"ja";"8";0;
"01";"Bundespräsident und Bundespräsidialamt";"E";"Übrige Einnahmen";"0111";"Zentral veranschlagte Verwaltungseinnahmen und -ausgaben";"28209";"011";"Einnahmen aus Sponsoring, Spenden und ähnlichen freiwilligen Geldleistungen";;"10";0;
"01";"Bundespräsident und Bundespräsidialamt";"E";"Übrige Einnahmen";"0111";"Zentral veranschlagte Verwaltungseinnahmen und -ausgaben";"38103";"890";"Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7";;"10";0;
"01";"Bundespräsident und Bundespräsidialamt";"E";"";"0111";"Zentral veranschlagte Verwaltungseinnahmen und -ausgaben";"11957";"018";"Vermischte Einnahmen";;"10";0;"57";"Versorgung der Beamtinnen und Beamten sowie der Richterinnen und Richter";
"01";"Bundespräsident und Bundespräsidialamt";"E";"";"0111";"Zentral veranschlagte Verwaltungseinnahmen und -ausgaben";"23257";"018";"Beteiligung an den Versorgungslasten des Bundes";;"10";100;"57";"Versorgung der Beamtinnen und Beamten sowie der Richterinnen und Richter";
"01";"Bundespräsident und Bundespräsidialamt";"A";"Sächliche Verwaltungsausgaben";"0111";"Zentral veranschlagte Verwaltungseinnahmen und -ausgaben";"54201";"013";"Öffentlichkeitsarbeit";"nein";"10";368;
"01";"Bundespräsident und Bundespräsidialamt";"A";"Sächliche Verwaltungsausgaben";"0111";"Zentral veranschlagte Verwaltungseinnahmen und -ausgaben";"54709";"011";"Ausgaben für Vorhaben, die aus Spenden, Sponsoring und ähnlichen freiwilligen Geldleistungen finanziert werden";"nein";"11";0;
"01";"Bundespräsident und Bundespräsidialamt";"A";"Besondere Finanzierungsausgaben";"0111";"Zentral veranschlagte Verwaltungseinnahmen und -ausgaben";"98103";"890";"Verrechnungsausgaben gemäß § 61 BHO außerhalb der Tit. 981 .1 und 981 .7";"nein";"11";0;
"01";"Bundespräsident und Bundespräsidialamt";"A";"";"0111";"Zentral veranschlagte Verwaltungseinnahmen und -ausgaben";"43157";"018";"Versorgungsbezüge der Bundespräsidenten und deren Hinterbliebenen";"nein";"11";900;"57";"Versorgung der Beamtinnen und Beamten sowie der Richterinnen und Richter";
"01";"Bundespräsident und Bundespräsidialamt";"A";"";"0111";"Zentral veranschlagte Verwaltungseinnahmen und -ausgaben";"43257";"018";"Versorgungsbezüge";"nein";"11";3911;"57";"Versorgung der Beamtinnen und Beamten sowie der Richterinnen und Richter";
"01";"Bundespräsident und Bundespräsidialamt";"A";"";"0111";"Zentral veranschlagte Verwaltungseinnahmen und -ausgaben";"43457";"018";"Zuführung an die Versorgungsrücklage";"nein";"11";222;"57";"Versorgung der Beamtinnen und Beamten sowie der Richterinnen und Richter";
"01";"Bundespräsident und Bundespräsidialamt";"A";"";"0111";"Zentral veranschlagte Verwaltungseinnahmen und -ausgaben";"44357";"018";"Fürsorgeleistungen einschließlich Inanspruchnahme von besonderen Fachdiensten/-kräften";"nein";"12";0;"57";"Versorgung der Beamtinnen und Beamten sowie der Richterinnen und Richter";
"01";"Bundespräsident und Bundespräsidialamt";"A";"";"0111";"Zentral veranschlagte Verwaltungseinnahmen und -ausgaben";"44657";"018";"Beihilfen aufgrund der Beihilfevorschriften";"nein";"12";1347;"57";"Versorgung der Beamtinnen und Beamten sowie der Richterinnen und Richter";
"01";"Bundespräsident und Bundespräsidialamt";"A";"";"0111";"Zentral veranschlagte Verwaltungseinnahmen und -ausgaben";"45357";"018";"Trennungsgeld, Fahrtkostenzuschüsse sowie Umzugskostenvergütungen";"nein";"12";0;"57";"Versorgung der Beamtinnen und Beamten sowie der Richterinnen und Richter";
"01";"Bundespräsident und Bundespräsidialamt";"A";"";"0111";"Zentral veranschlagte Verwaltungseinnahmen und -ausgaben";"63257";"018";"Erstattungen des Bundes für Versorgungslasten";"nein";"12";0;"57";"Versorgung der Beamtinnen und Beamten sowie der Richterinnen und Richter";
"01";"Bundespräsident und Bundespräsidialamt";"A";"";"0111";"Zentral veranschlagte Verwaltungseinnahmen und -ausgaben";"42401";"011";"Zuführung an die Versorgungsrücklage";"ja";"12";0;
"01";"Bundespräsident und Bundespräsidialamt";"A";"";"0111";"Zentral veranschlagte Verwaltungseinnahmen und -ausgaben";"44101";"840";"Beihilfen aufgrund der Beihilfevorschriften";"ja";"12";380;
"01";"Bundespräsident und Bundespräsidialamt";"A";"";"0111";"Zentral veranschlagte Verwaltungseinnahmen und -ausgaben";"44301";"840";"Fürsorgeleistungen einschließlich Inanspruchnahme von besonderen Fachdiensten/-kräften";"ja";"12";40;
"01";"Bundespräsident und Bundespräsidialamt";"A";"";"0111";"Zentral veranschlagte Verwaltungseinnahmen und -ausgaben";"45202";"223";"Unfallversicherung Bund und Bahn";"ja";"12";12;
"01";"Bundespräsident und Bundespräsidialamt";"A";"";"0111";"Zentral veranschlagte Verwaltungseinnahmen und -ausgaben";"52601";"011";"Gerichts- und ähnliche Kosten";"ja";"12";20;
"01";"Bundespräsident und Bundespräsidialamt";"A";"";"0111";"Zentral veranschlagte Verwaltungseinnahmen und -ausgaben";"52602";"011";"Sachverständige, Ausgaben für Mitglieder von Fachbeiräten und ähnlichen Ausschüssen";"ja";"12";50;
"01";"Bundespräsident und Bundespräsidialamt";"A";"";"0111";"Zentral veranschlagte Verwaltungseinnahmen und -ausgaben";"54501";"011";"Konferenzen, Tagungen, Messen und Ausstellungen";"ja";"13";2200;
"01";"Bundespräsident und Bundespräsidialamt";"A";"";"0111";"Zentral veranschlagte Verwaltungseinnahmen und -ausgaben";"63403";"011";"Zuweisungen an den Versorgungsfonds";"ja";"13";1100;
"01";"Bundespräsident und Bundespräsidialamt";"E";"Verwaltungseinnahmen";"0112";"Bundespräsidialamt";"11999";"011";"Vermischte Einnahmen";;"15";2;
"01";"Bundespräsident und Bundespräsidialamt";"E";"Verwaltungseinnahmen";"0112";"Bundespräsidialamt";"12401";"011";"Einnahmen aus Vermietung, Verpachtung und Nutzung";;"15";0;
"01";"Bundespräsident und Bundespräsidialamt";"E";"Verwaltungseinnahmen";"0112";"Bundespräsidialamt";"13201";"011";"Erlöse aus der Veräußerung von beweglichen Sachen";;"15";1;
"01";"Bundespräsident und Bundespräsidialamt";"E";"Übrige Einnahmen";"0112";"Bundespräsidialamt";"38103";"890";"Verrechnungseinnahmen gemäß § 61 BHO außerhalb der Tit. 381 .1 und 381 .7";;"15";0;
"01";"Bundespräsident und Bundespräsidialamt";"A";"Sächliche Verwaltungsausgaben";"0112";"Bundespräsidialamt";"51802";"011";"Mieten und Pachten im Zusammenhang mit dem Einheitlichen Liegenschaftsmanagement";"nein";"15";5144;
"01";"Bundespräsident und Bundespräsidialamt";"A";"Besondere Finanzierungsausgaben";"0112";"Bundespräsidialamt";"98103";"890";"Verrechnungsausgaben gemäß § 61 BHO außerhalb der Tit. 981 .1 und 981 .7";"nein";"15";0;
